language,idiom,type,geminates,source,page,contributer,date
Agul,Huppuq',village,attested,maisakganenkov2016,,George Moroz,6.09.2021
Akhvakh,Northern Akhvakh,dialect_toplevel,attested,creisselsdraft2020,,George Moroz,6.09.2021
Andi,Zilo,village,attested,kayeetaldraft2020,,George Moroz,6.09.2021
Archi,,,attested,kibrik1994a,300,George Moroz,6.09.2021
Avar,Standard Avar,language,attested,alekseevataev1997,35,George Moroz,6.09.2021
Bagvalal,Kvanada,village,attested,kibrik2001,35--46,George Moroz,6.09.2021
Tsova-Tush,Zemo-Alvani,village,attested,holiskygagua1994,150,George Moroz,6.09.2021
Bezhta,,,not attested,comrieetal2015,86,George Moroz,6.09.2021
Botlikh,Botlikh,village,attested,alexeyevverheesdraft2020,,George Moroz,6.09.2021
Budukh,Budukh,village,not attested,talibov2007,35,George Moroz,6.09.2021
Chamalal,Gadyri; Gigatli; Upper Gakvari,dialect_toplevel; dialect_toplevel; village,attested,bokarev1949a,"12, 15",George Moroz,6.09.2021
Chechen,Standard Chechen,language,attested,nichols1994,4,George Moroz,6.09.2021
Godoberi,,,attested,morozdraft2021,2,George Moroz,6.09.2021
Hinuq,Hinuq,village,not attested,forker2013,29,George Moroz,6.09.2021
Hunzib,Hunzib,language,not attested,isakovxalilov2001,260,George Moroz,6.09.2021
Ingush,Standard Ingush,language,not attested,nichols1994ingush,82,George Moroz,6.09.2021
Karata,Karata,dialect_toplevel,attested,magomedbekova1971,12--18,George Moroz,6.09.2021
Khinalug,,,attested,kibrik1994b,370,George Moroz,6.09.2021
Khwarshi,Kwantlada,village,not attested,khalilova2009,13,George Moroz,6.09.2021
Kryz,,,attested,saadiev1994,409,George Moroz,6.09.2021
Lak,Khosrekh,village,attested,kibrikkodzasov1990,333,George Moroz,6.09.2021
Lezgian,,,attested,gaydarivetal2009,56,George Moroz,6.09.2021
Dargwa,Mehweb,village,not attested,moroz2017,22–34,George Moroz,6.09.2021
Rutul,Luchek,village,attested,alekseev1994,215,George Moroz,6.09.2021
Tabasaran,Standard Tabasaran,language,attested,alekseevshixalieva2003,29,George Moroz,6.09.2021
Tindi,Tindi,village,attested,magomedova2012,14--38,George Moroz,6.09.2021
Tsakhur,Mishlesh,village,attested,kibrik1999,16,George Moroz,6.09.2021
Tsez,Sagada,village,not attested,wilson2021,388,George Moroz,6.09.2021
Udi,Nidzh,village,not attested,kibrikkodzasov1990,347,George Moroz,6.09.2021
