language,idiom,type,map,labials,source,page,contributer,date
Armenian,Eastern Armenian,dialect_toplevel,"","v, w",dum-tragut2009,"18, 20",George Moroz,2021.10.04
Tat,Northern Azerbaijani Tat,dialect_toplevel,"",v,griunberg1963,17,George Moroz,2021.10.04
Georgian,Standard Georgian,language,"",v,hewitt1995,19,George Moroz,2021.10.04
Khinalug,Khynalyg,village,"","v, w",kibrik1994b,370,George Moroz,2021.10.04
Khinalug,Khynalyg,village,no,v,kibrikkodzasov1990,346–347,Viola Ivanova,2017.05.06
Lak,Khosrekh,village,"",w,kibrikkodzasov1990,333,Viola Ivanova,2017.05.06
Avar,Standard Avar,language,"",w,alekseevataev1997,35,George Moroz,2021.10.04
Avar,Chadakolob,village,"",w,kibrikkodzasov1990,320,Viola Ivanova,2017.05.06
Akhvakh,Northern Akhvakh,dialect_toplevel,"",w,creisselsdraft2020,,George Moroz,2021.10.04
Akhvakh,Tad-Magitl',village,"",w,kibrikkodzasov1990,322–323,Viola Ivanova,2017.05.06
Andi,Zilo,village,"",w,kayeetaldraft2020,,George Moroz,2021.10.04
Andi,Andi,village,"",w,kibrikkodzasov1990,321,George Moroz,2017.05.06
Chamalal,Chamalal,language,"",w,bokarev1949a,12,George Moroz,2021.10.04
Chamalal,Gigatl',village,"",w,kibrikkodzasov1990,324,George Moroz,2017.05.06
Bagvalal,Kvanada,village,"",w,kibrik2001,35--46,George Moroz,2021.10.04
Tindi,Tindi,village,"",w,kibrikkodzasov1990,326–327,Viola Ivanova,2017.05.06
Tindi,Tindi,village,"",w,magomedova2012,14--38,George Moroz,2021.10.04
Botlikh,Botlikh,village,"",w,alexeyevverheesdraft2020,,George Moroz,2021.10.04
Godoberi,Godoberi,village,"",w,morozdraft2021,2,George Moroz,2021.10.04
Karata,Karata,dialect_toplevel,"",w,magomedbekova1971,12--18,George Moroz,2021.10.04
Tokita,Tukita,village,"",w,gadzhieva2007,8,George Moroz,2021.10.04
Bezhta,Bezhta,language,"",w,comrieetal2015,86,George Moroz,2021.10.04
Bezhta,Tlyadal,village,"",w,kibrikkodzasov1990,330,Viola Ivanova,2017.05.06
Hunzib,Gunzib,village,"",w,isakovxalilov2001,260,George Moroz,2021.10.04
Hunzib,Gunzib,village,"","w, β",kibrikkodzasov1990,332,George Moroz,2017.05.06
Hinuq,Genukh,village,"",w,forker2013,29,George Moroz,2021.10.04
Hinuq,Genukh,village,"",w,kibrikkodzasov1990,329,George Moroz,2017.05.06
Khwarshi,Kwantlada,village,"",w,khalilova2009,13,George Moroz,2021.10.04
Tsez,Kidero,village,"",w,kibrikkodzasov1990,328,Viola Ivanova,2017.05.06
Tsez,Sagada,village,"",w,wilson2021,388,George Moroz,2021.10.04
Inkhoqwari,Inkhokvari,village,"",w,kibrikkodzasov1990,327,George Moroz,2017.05.06
Dargwa,Chirag,village,"",w,kibrikkodzasov1990,334,George Moroz,2017.05.06
Dargwa,Mehweb,village,"",w,moroz2017,22–34,George Moroz,2021.10.04
Dargwa,Tanty,village,"",w,sumbatovalander2014,40--41,George Moroz,2021.10.04
Dargwa,Kaitag,dialect_toplevel,"","w, β",temirbulatova2004,39,George Moroz,2021.10.04
Archi,Archib,village,"",w,kibrik1994a,300,George Moroz,2021.10.04
Archi,Archib,village,"",w,kibrikkodzasov1990,335–336,Viola Ivanova,2017.05.06
Tabasaran,Standard Tabasaran,language,"",w,alekseevshixalieva2003,29,George Moroz,2021.10.04
Tabasaran,Dyubek,village,"",β,kibrikkodzasov1990,336,George Moroz,2017.05.06
Agul,Burshag,village,"",w,kibrikkodzasov1990,340–341,Viola Ivanova,2017.05.06
Lezgian,Standard Lezgian,language,"",w,gaydarivetal2009,56,George Moroz,2021.10.04
Lezgian,Lezgian,village,"",β,kibrikkodzasov1990,341,George Moroz,2017.05.06
Udi,Nidzh,village,"",v,kibrikkodzasov1990,347,Viola Ivanova,2017.05.06
Budukh,Budug,village,"","v, w",kibrikkodzasov1990,345,George Moroz,2017.05.06
Budukh,Budug,village,no,w,talibov2007,35,George Moroz,2021.10.04
Kryz,Kryz,village,"",v,kibrikkodzasov1990,345,Viola Ivanova,2017.05.06
Kryz,Kryz,language,"",v,saadiev1994,409,George Moroz,2021.10.04
Rutul,Luchek,village,"",v,alekseev1994,215,George Moroz,2021.10.04
Rutul,Luchek,village,"",w,kibrikkodzasov1990,342–343,Viola Ivanova,2017.05.06
Tsakhur,Mishlesh,village,"",w,kibrik1999,16,George Moroz,2021.10.04
Tsakhur,Mikik,village,"",w,kibrikkodzasov1990,343,George Moroz,2017.05.06
Tsova-Tush,Zemo-Alvani,village,"",v,holiskygagua1994,150,George Moroz,2021.10.04
Chechen,Standard Chechen,language,"",w,nichols1994,4,George Moroz,2021.10.04
Ingush,Standard Ingush,language,"",v,nichols2011,20,George Moroz,2021.10.04
Nogai,Nogai,language,"","v, w",baskakov1940,27,George Moroz,2021.10.04
Kumyk,Standard Kumyk,language,"",w,abdullaevaetal2014,33--56,George Moroz,2021.10.04
Azerbaijani,Standard Azerbaijani,language,"",v,shiralievsevortyan1971,16--26,George Moroz,2021.10.04
