language,idiom,type,genlang_point,map,feature,value1_name,value1,source,page,contributor,date
Agul,Burshag,village,no,yes,Pharyngeal inventories,Pharyngeal inventories,"ʜ, ʢ",kibrikkodzasov1990,340--341,Viola Ivanova,2017.05.06
Agul,Huppuq',village,yes,yes,Pharyngeal inventories,Pharyngeal inventories,"ʜ, ʡ, ʢ",maisakganenkov2016,,George Moroz,2021.10.04
Akhvakh,Northern Akhvakh,dialect_toplevel,yes,yes,Pharyngeal inventories,Pharyngeal inventories,"ħ, ʕ",creisselsdraft2020,,George Moroz,2021.10.04
Akhvakh,Tad-Magitl',village,no,yes,Pharyngeal inventories,Pharyngeal inventories,"ʜ, ʢ",kibrikkodzasov1990,322--323,Viola Ivanova,2017.05.06
Andi,Zilo,village,yes,yes,Pharyngeal inventories,Pharyngeal inventories,"ħ, ʕ",kayeetaldraft2020,,George Moroz,2021.10.04
Andi,Andi,village,no,yes,Pharyngeal inventories,Pharyngeal inventories,"ʜ, ʢ",kibrikkodzasov1990,321,George Moroz,2017.05.06
Archi,Archib,village,yes,yes,Pharyngeal inventories,Pharyngeal inventories,"ħ, ʕ",kibrik1994a,300,George Moroz,2021.10.04
Archi,Archib,village,no,yes,Pharyngeal inventories,Pharyngeal inventories,"ʜ, ʢ",kibrikkodzasov1990,335--336,Viola Ivanova,2017.05.06
Armenian,Eastern Armenian,dialect_toplevel,yes,yes,Pharyngeal inventories,Pharyngeal inventories,none,dum-tragut2009,"17, 19, 18, 20",George Moroz,2021.10.04
Avar,Standard Avar,language,yes,yes,Pharyngeal inventories,Pharyngeal inventories,"ħ, ʕ, ʡ",alekseevataev1997,35,George Moroz,2021.10.04
Avar,Chadakolob,village,no,yes,Pharyngeal inventories,Pharyngeal inventories,"ʜ, ʢ",kibrikkodzasov1990,320,Viola Ivanova,2017.05.06
Azerbaijani,Standard Azerbaijani,language,yes,yes,Pharyngeal inventories,Pharyngeal inventories,ħ,shiralievsevortyan1971,16--26,George Moroz,2021.10.04
Bagvalal,Kvanada,village,yes,yes,Pharyngeal inventories,Pharyngeal inventories,"ʜ, ʢ",kibrik2001,35--46,George Moroz,2021.10.04
Bezhta,Bezhta,language,yes,yes,Pharyngeal inventories,Pharyngeal inventories,"ħ, ʕ",comrieetal2015,86,George Moroz,2021.10.04
Bezhta,Tlyadal,village,no,yes,Pharyngeal inventories,Pharyngeal inventories,"ʜ, ʢ",kibrikkodzasov1990,330,Viola Ivanova,2017.05.06
Botlikh,Botlikh,village,yes,yes,Pharyngeal inventories,Pharyngeal inventories,"ħ, ʕ",alexeyevverheesdraft2020,,George Moroz,2021.10.04
Budukh,Budug,village,yes,yes,Pharyngeal inventories,Pharyngeal inventories,"ʜ, ʡ, ʢ",kibrikkodzasov1990,345,George Moroz,2017.05.06
Budukh,Budug,village,no,no,Pharyngeal inventories,Pharyngeal inventories,"ħ, ʕ",talibov2007,35,George Moroz,2021.10.04
Chamalal,Chamalal,language,no,yes,Pharyngeal inventories,Pharyngeal inventories,"ħ, ʕ",bokarev1949a,"12, 15",George Moroz,2021.10.04
Chamalal,Gigatl',village,yes,yes,Pharyngeal inventories,Pharyngeal inventories,"ʜ, ʢ",kibrikkodzasov1990,324,George Moroz,2017.05.06
Chechen,Standard Chechen,language,yes,yes,Pharyngeal inventories,Pharyngeal inventories,"ʜ, ʡ",nichols1994,4,George Moroz,2021.10.04
Dargwa,Chirag,village,no,yes,Pharyngeal inventories,Pharyngeal inventories,"ʜ, ʢ",kibrikkodzasov1990,334,George Moroz,2017.05.06
Dargwa,Mehweb,village,yes,yes,Pharyngeal inventories,Pharyngeal inventories,"ħ, ʜ, ʡ",moroz2017,22--34,George Moroz,2021.10.04
Dargwa,Tanty,village,no,yes,Pharyngeal inventories,Pharyngeal inventories,"ħ, ʕ, ʡ",sumbatovalander2014,40--41,George Moroz,2021.10.04
Dargwa,Kaitag,dialect_toplevel,no,yes,Pharyngeal inventories,Pharyngeal inventories,"ħ, ʕ",temirbulatova2004,39,George Moroz,2021.10.04
Georgian,Standard Georgian,language,yes,yes,Pharyngeal inventories,Pharyngeal inventories,none,hewitt1995,19,George Moroz,2021.10.04
Godoberi,Godoberi,village,yes,yes,Pharyngeal inventories,Pharyngeal inventories,"ħ, ʕ",morozdraft2021,2,George Moroz,2021.10.04
Hinuq,Genukh,village,yes,yes,Pharyngeal inventories,Pharyngeal inventories,"ħ, ʡ",forker2013,29,George Moroz,2021.10.04
Hinuq,Genukh,village,no,yes,Pharyngeal inventories,Pharyngeal inventories,"ʜ, ʢ",kibrikkodzasov1990,329,George Moroz,2017.05.06
Hunzib,Gunzib,village,yes,yes,Pharyngeal inventories,Pharyngeal inventories,"ħ, ʕ",isakovxalilov2001,260,George Moroz,2021.10.04
Hunzib,Gunzib,village,no,yes,Pharyngeal inventories,Pharyngeal inventories,"ʜ, ʢ",kibrikkodzasov1990,332,George Moroz,2017.05.06
Ingush,Standard Ingush,language,yes,yes,Pharyngeal inventories,Pharyngeal inventories,"ħ, ʕ",nichols2011,20,George Moroz,2021.10.04
Inkhoqwari,Inkhokvari,village,yes,yes,Pharyngeal inventories,Pharyngeal inventories,"ʜ, ʢ",kibrikkodzasov1990,327,George Moroz,2017.05.06
Karata,Karata,dialect_toplevel,yes,yes,Pharyngeal inventories,Pharyngeal inventories,none,magomedbekova1971,12--18,George Moroz,2021.10.04
Karata,Tukita,village,no,yes,Pharyngeal inventories,Pharyngeal inventories,"ħ, ʕ",gadzhieva2007,8,George Moroz,2021.10.04
Khinalug,Khynalyg,village,yes,yes,Pharyngeal inventories,Pharyngeal inventories,"ħ, ʕ",kibrik1994b,370,George Moroz,2021.10.04
Khinalug,Khynalyg,village,no,no,Pharyngeal inventories,Pharyngeal inventories,"ʜ, ʢ",kibrikkodzasov1990,346--347,Viola Ivanova,2017.05.06
Khwarshi,Kwantlada,village,yes,yes,Pharyngeal inventories,Pharyngeal inventories,"ħ, ʕ",khalilova2009,13,George Moroz,2021.10.04
Kryz,Kryz,village,no,yes,Pharyngeal inventories,Pharyngeal inventories,"ʜ, ʢ",kibrikkodzasov1990,345,Viola Ivanova,2017.05.06
Kryz,Kryz,language,yes,yes,Pharyngeal inventories,Pharyngeal inventories,"ħ, ʕ",saadiev1994,409,George Moroz,2021.10.04
Kumyk,Standard Kumyk,language,yes,yes,Pharyngeal inventories,Pharyngeal inventories,none,abdullaevaetal2014,33--56,George Moroz,2021.10.04
Lak,Khosrekh,village,yes,yes,Pharyngeal inventories,Pharyngeal inventories,none,kibrikkodzasov1990,333,Viola Ivanova,2017.05.06
